
="37.exp#c.urate",="0.0521**",="0.0506***",="-1.407***",="0.0430"
="",="(0.0165)",="(0.0115)",="(0.197)",="(0.0336)"

="38.exp#c.urate",="0.0590***",="0.0498**",="-1.286***",="0.0745"
="",="(0.0136)",="(0.0168)",="(0.174)",="(0.0490)"

="39.exp#c.urate",="0.0444**",="0.0349**",="-1.521***",="0.0626"
="",="(0.0150)",="(0.0116)",="(0.219)",="(0.0375)"

="40.exp#c.urate",="0.0411*",="0.0456*",="-1.541***",="0.0362"
="",="(0.0182)",="(0.0176)",="(0.182)",="(0.0472)"

="41.exp#c.urate",="0.0523",="0.0551***",="-1.823***",="0.0573"
="",="(0.0266)",="(0.0155)",="(0.208)",="(0.0590)"

="42.exp#c.urate",="0.0495",="0.0296",="-1.702***",="0.0703"
="",="(0.0264)",="(0.0182)",="(0.372)",="(0.0561)"

="43.exp#c.urate",="0.0431",="0.0430*",="-1.102***",="0.0451"
="",="(0.0271)",="(0.0167)",="(0.229)",="(0.0402)"

="44.exp#c.urate",="0.0758**",="0.0686**",="-1.280***",="0.0855"
="",="(0.0229)",="(0.0199)",="(0.243)",="(0.0462)"

="45.exp#c.urate",="0.0422",="0.0194",="-1.135**",="0.0712"
="",="(0.0226)",="(0.0182)",="(0.343)",="(0.0358)"

="46.exp#c.urate",="0.0344*",="0.0308",="-0.987**",="0.0540*"
="",="(0.0164)",="(0.0217)",="(0.318)",="(0.0239)"

="47.exp#c.urate",="0.0481**",="0.0795**",="-1.071***",="0.0549*"
="",="(0.0150)",="(0.0236)",="(0.279)",="(0.0248)"

="48.exp#c.urate",="0.0409",="0.0296",="-1.575***",="0.0763**"
="",="(0.0212)",="(0.0298)",="(0.309)",="(0.0262)"

="49.exp#c.urate",="0.0563**",="0.0578*",="-0.807**",="0.0821**"
="",="(0.0168)",="(0.0239)",="(0.269)",="(0.0249)"

="50.exp#c.urate",="0.0721***",="0.0854**",="-0.997**",="0.0922**"
="",="(0.0181)",="(0.0307)",="(0.349)",="(0.0296)"

="51.exp#c.urate",="0.0779***",="0.0572",="-1.777***",="0.122***"
="",="(0.0167)",="(0.0357)",="(0.459)",="(0.0302)"

="52.exp#c.urate",="0.0554***",="0.0341",="-1.978***",="0.106***"
="",="(0.0110)",="(0.0379)",="(0.308)",="(0.0230)"

="53.exp#c.urate",="0.0307*",="0.0472",="-2.144***",="0.0763**"
="",="(0.0153)",="(0.0402)",="(0.459)",="(0.0251)"

="54.exp#c.urate",="0.0687***",="0.0789*",="-1.930***",="0.0999***"
="",="(0.0134)",="(0.0325)",="(0.522)",="(0.0249)"

="55.exp#c.urate",="0.0789***",="0.00120",="-0.856",="0.112**"
="",="(0.0193)",="(0.0404)",="(0.466)",="(0.0326)"

="56.exp#c.urate",="0.0819***",="0.130*",="-0.198",="0.105***"
="",="(0.0143)",="(0.0563)",="(0.715)",="(0.0244)"

="57.exp#c.urate",="0.0878***",="0.106*",="-0.949*",="0.130***"
="",="(0.0173)",="(0.0445)",="(0.469)",="(0.0263)"

="58.exp#c.urate",="0.0932***",="0.112*",="-1.393",="0.131***"
="",="(0.0194)",="(0.0558)",="(0.705)",="(0.0321)"

="59.exp#c.urate",="0.0920***",="0.00514",="0.802",="0.136***"
="",="(0.0144)",="(0.0469)",="(0.808)",="(0.0279)"

